Accuracy,Balanced_Accuracy,Macro_F1,F1_Target,Precision_Target,Recall_Target,AUROC,AUPRC,Model,Language,Samples,source_file,run_id
0.4444444444444444,0.4,0.3076923076923077,0.0,0.0,0.0,0.0,0.4444444444444444,QDA,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7142857142857143,0.7158783783783784,0.7142375168690958,0.7105263157894737,0.75,0.675,0.7564189189189189,0.772308728599503,ExtraTrees,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7532467532467533,0.7523648648648649,0.7525790630813461,0.7654320987654321,0.7560975609756098,0.775,0.785135135135135,0.7811245640344496,LDA,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7402597402597403,0.7398648648648649,0.7398648648648649,0.75,0.75,0.75,,,RidgeClassifier,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7402597402597403,0.7388513513513514,0.7391598915989159,0.7560975609756098,0.7380952380952381,0.775,0.7804054054054055,0.7980978876043926,LogisticRegression,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7402597402597403,0.7449324324324325,0.7380952380952381,0.7142857142857143,0.8333333333333334,0.625,0.7824324324324324,0.8132025247478946,QDA,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7272727272727273,0.7283783783783784,0.7272727272727273,0.7272727272727273,0.7567567567567568,0.7,0.7851351351351351,0.8198221517047347,MLP,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7272727272727273,0.7263513513513513,0.7265347539320142,0.7407407407407407,0.7317073170731707,0.75,0.7831081081081082,0.8037079715603379,SVM_Linear,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7142857142857143,0.7148648648648648,0.7142375168690958,0.717948717948718,0.7368421052631579,0.7,0.7689189189189188,0.7432617158447062,SVM_RBF,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5064935064935064,0.5057432432432433,0.5057432432432433,0.525,0.525,0.525,0.5057432432432433,0.5223782467532467,DecisionTree,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
