Model,k,english,korean,mandarin,slovene,Avg
gpt-oss-20b,0 (ZS),0.585,0.558,0.458,0.603,0.551
gpt-oss-20b,1,0.357,0.347,0.327,0.368,0.350
gpt-oss-20b,2,0.402,0.327,0.351,0.357,0.359
gpt-oss-20b,3,0.435,0.324,0.351,0.375,0.371
gpt-oss-20b,5,0.457,0.323,0.343,0.384,0.377
